景区名称,景点ID,景点名称,具体位置,建筑/景观参数,核心功能,文化内涵,详细介绍,游玩亮点,演艺/开放信息,备注
灵山胜境,LS-011,灵山大佛,祥符禅寺北侧，秦履峰南侧，矗立在景区最高处，是整个灵山胜境的核心地标，可俯瞰整个景区及太湖风光。,通高88m，佛体79m+莲花9m，总高101.5m，耗铜725吨，2000块铜壁板拼接。,佛教朝圣、地标观赏、抱佛脚祈福、文化象征。,五方五佛东方代表，无畏印/与愿印，216级台阶=108烦恼+108愿望。,世界最高露天青铜大佛，面容庄严，俯瞰太湖，气势恢宏。,登顶抱佛脚、俯瞰太湖、拍佛光、瞻仰佛像。,8:00-17:00，冬季16:30，观光车40元/人。,东方大佛地标、五方五佛代表。
灵山胜境,LS-012,佛教文化博览馆,灵山大佛座基内，三层框架，一层五方五佛、二层发展史、三层万佛殿，免费开放。,建筑面积10000㎡，三层，万佛殿9999尊小佛，配智能导览、沉浸式投影。,科普教育、文化展示、万佛祈福、互动体验。,系统展示五方五佛、世界佛教史、万佛朝宗。,一层名山沙盘、二层互动投影、三层鎏金万佛殿，免费讲解。,智能导览、万佛打卡、知识问答、祈福卡。,同步大佛时间，免费讲解9:30/11:00/14:30/16:00。,免费科普阵地、万佛朝宗打卡点。
灵山胜境,LS-013,灵山梵宫,灵山胜境西侧，香水海之畔，世界佛教论坛永久会址。,建筑面积7.2万㎡，高66.5m，鲁班奖，星空穹顶、琉璃、木雕、油画。,艺术殿堂、佛事活动、演艺观赏、非遗展示。,莲花藏世界、五方五佛、世界文化交流。,东方卢浮宫，穹顶星空、《华藏世界》琉璃、东阳木雕、吉祥颂演出。,看吉祥颂、赏非遗、拍全景、沉浸式体验。,9:00-17:0，冬季16:30，吉祥颂10:35/11:30/14:00/16:00。,世界佛教论坛会址、东方卢浮宫。
灵山胜境,LS-014,五印坛城,香水海中央独立圆岛，灵山梵宫南侧，四面环水。,五层藏式碉楼，高30m，白墙金顶，108转经筒、唐卡、瑞兽雕塑。,藏传文化、祈福、观景、文化体验。,五印=五佛手印，坛城=曼陀罗，汉藏交融。,小布达拉宫，唐卡展厅、转经长廊、顶层观景台。,转经、看唐卡、登观景台、藏香体验。,9:00-17:0，冬季16:30，藏香制作需预约。,小布达拉宫、三语系建筑群落。
灵山胜境,LS-015,曼飞龙塔,五印坛城北侧，香水北岸，南传佛教风格。,主塔16.9m，8小塔环绕，白色花岗岩，鎏金塔刹，傣族风情。,南传展示、打卡、文化融合、园林景观。,复刻云南曼飞龙白塔，南传九智、三语系共存。,九塔组合，浮雕经文，傣族特色，夜景亮化。,拍异域景、对比三语系、夜景打卡。,全天开放，夜间亮化，雨天防滑。,三语系地标、异域风情打卡点。
灵山胜境,LS-016,无尽意斋,祥符禅寺西北侧，山林间，赵朴初纪念馆。,四合院，600㎡，青砖灰瓦，复刻北京故居，书法、禅茶、生平。,名人纪念、人文休憩、禅茶品鉴、书法观赏。,无尽意菩萨、赵朴初贡献、文化传承。,生平厅、灵山渊源厅、书法厅、禅茶室。,看书法、品禅茶、静坐、观展览。,9:00-17:0，冬季16:30，禅茶免费。,人文节点、赵朴初纪念馆。
拈花湾,NH-001,拈花广场,小镇入口核心，北接入口、南连香月花街、东靠拈花塔、西临梵天花海。,占地8000㎡，12米鎏金拈花微笑雕塑，青石板、水景、绿植、中式灯。,门户集散、禅意展示、开园仪式、打卡。,拈花微笑、顿悟禅理、宁静向善。,雕塑鎏金、广场开阔、水景禅意、开园禅舞。,打卡雕塑、开园仪式、夜景、集散休息。,9:00-21:30，冬季20:30，开园9:30。,小镇门户、禅意开篇。
拈花湾,NH-002,梵天花海,小镇西侧，毗邻鹿鸣谷，占地3万㎡。,四季花海、防腐步道、凉亭风车、格桑/波斯菊/硫华菊。,自然观赏、漫步、拍照、疗愈。,一花一世界、自然禅、治愈。,四季有花、步道蜿蜒、凉亭观景、清新氧吧。,四季赏花、漫步、凉亭观景、拍花海。,9:00-21:30，白天最佳。,自然名片、治愈秘境。
拈花湾,NH-003,香月花街,小镇中轴线，北接拈花广场、南连五灯湖，长800米。,白墙黛瓦、灯笼、青石板、禅意商铺、非遗、素斋。,禅意商业、手作、美食、夜景。,禅意慢生活、烟火禅、雅致。,灯笼街巷、文创、陶艺、剪纸、素面、禅茶。,逛店、手作、夜景、品素斋。,9:00-21:30，灯笼18:00点亮。,禅意街巷、慢生活中心。
拈花湾,NH-004,拈花堂,香月花街东侧，绿植环绕，占地1200㎡。,单层禅堂、禅坐区、抄经区、禅茶区、素雅。,静心、禅修、抄经、禅茶、讲座。,拈花悟禅、静心修身、禅茶一味。,禅坐冥想、抄经静心、禅茶品鉴、禅课。,静坐、抄经、禅茶、听禅课。,9:30-19:0，冬季18:00，讲座10:30/15:30。,静心中心、禅修体验地。
拈花湾,NH-005,五灯湖,小镇南侧，香月花街南端，湖面5000㎡。,木质栈道、湖心亭、水幕投影、水雾、灯光秀。,水景、灯光秀、禅行、夜景。,五智、清净本心、光影禅。,湖景、水幕、禅意图案、水雾梦幻。,看灯光秀、拍水影、湖心亭。,9:00-21:30，灯光秀19:00/20:00。,夜间核心、禅行舞台。
拈花湾,NH-006,鹿鸣谷,小镇西侧山林，占地2万㎡，90%绿植。,山林步道、溪流、观景台、高负氧离子、静谧。,徒步、疗愈、静心、自然禅。,返璞归真、山林静心、自然疗愈。,原生山林、鸟鸣溪流、光影静谧、氧吧。,徒步、冥想、吸氧、拍山林。,9:00-21:30，白天最佳。,天然氧吧、静谧秘境。
